POPULATION,SUSCEPTIPLES,INFECTEDS,LOCKDOWN_RATE
170,134,36,0.7823529411764706
168,130,38,0.8095238095238095
168,132,36,0.8511904761904762
167,132,35,0.8143712574850299
165,134,31,0.8424242424242424
165,132,33,0.8848484848484849
165,130,35,0.7878787878787878
164,129,35,0.8170731707317073
163,132,31,0.8282208588957055
163,135,28,0.8343558282208589
162,133,29,0.7345679012345679
160,130,30,0.7625
159,131,28,0.8176100628930818
158,132,26,0.8227848101265823
158,128,30,0.8037974683544303
158,125,33,0.7848101265822784
158,126,32,0.7531645569620253
156,127,29,0.8397435897435898
156,121,35,0.7564102564102564
153,122,31,0.8169934640522876
152,125,27,0.7631578947368421
152,123,29,0.8157894736842105
151,122,29,0.847682119205298
150,120,30,0.7466666666666667
149,123,26,0.7785234899328859
149,126,23,0.738255033557047
149,124,25,0.8120805369127517
148,126,22,0.7702702702702703
148,125,23,0.8243243243243243
147,124,23,0.8367346938775511
147,125,22,0.8231292517006803
147,125,22,0.8095238095238095
147,123,24,0.7619047619047619
